# L9 Dynamic Tool Catalog
# =========================
# Scanned from actual code (not hardcoded)
# Format: tool_name | Category | Risk | File

## Tools Found in core/tools/

| Tool | Category | Risk | File |
|------|----------|------|------|
| `Calculator` | core | high | core/tools/base_registry.py |
| `calendar_create` | core | high | core/tools/tool_graph.py |
| `email_send` | core | high | core/tools/tool_graph.py |
| `execute_tool_with_audit` | core | high | core/tools/tool_audit.py |
| `execute_tool` | core | high | core/tools/base_registry.py |
| `git_commit` | core | high | core/tools/registry_adapter.py |
| `git_commit` | core | high | core/tools/tool_graph.py |
| `github_create_issue` | core | high | core/tools/tool_graph.py |
| `github_create_pull_request` | core | high | core/tools/tool_graph.py |
| `github_merge_pull_request` | core | high | core/tools/tool_graph.py |
| `gmp_run` | core | high | core/tools/registry_adapter.py |
| `gmp_run` | core | high | core/tools/tool_graph.py |
| `godaddy_update_dns_record` | core | high | core/tools/tool_graph.py |
| `kernel_read` | core | high | core/tools/registry_adapter.py |
| `kernel_read` | core | high | core/tools/tool_graph.py |
| `llm_chat` | core | high | core/tools/tool_graph.py |
| `long_plan_execute` | core | high | core/tools/registry_adapter.py |
| `long_plan_execute` | core | high | core/tools/tool_graph.py |
| `long_plan_simulate` | core | high | core/tools/registry_adapter.py |
| `long_plan_simulate` | core | high | core/tools/tool_graph.py |
| `mac_agent_exec_task` | core | high | core/tools/registry_adapter.py |
| `mac_agent_exec_task` | core | high | core/tools/tool_graph.py |
| `mcp_call_tool` | core | high | core/tools/registry_adapter.py |
| `mcp_call_tool` | core | high | core/tools/tool_graph.py |
| `mcp_discover_and_register` | core | high | core/tools/registry_adapter.py |
| `mcp_discover_and_register` | core | high | core/tools/tool_graph.py |
| `mcp_list_servers` | core | high | core/tools/registry_adapter.py |
| `mcp_list_servers` | core | high | core/tools/tool_graph.py |
| `mcp_list_tools` | core | high | core/tools/registry_adapter.py |
| `mcp_list_tools` | core | high | core/tools/tool_graph.py |
| `mcp_start_server` | core | high | core/tools/registry_adapter.py |
| `mcp_stop_all_servers` | core | high | core/tools/registry_adapter.py |
| `mcp_stop_server` | core | high | core/tools/registry_adapter.py |
| `memory_embed_text` | core | high | core/tools/registry_adapter.py |
| `memory_embed_text` | core | high | core/tools/tool_graph.py |
| `memory_fetch_facts_api` | core | high | core/tools/registry_adapter.py |
| `memory_fetch_facts_api` | core | high | core/tools/tool_graph.py |
| `memory_fetch_insights` | core | high | core/tools/registry_adapter.py |
| `memory_fetch_insights` | core | high | core/tools/tool_graph.py |
| `memory_fetch_lineage` | core | high | core/tools/registry_adapter.py |
| `memory_fetch_lineage` | core | high | core/tools/tool_graph.py |
| `memory_fetch_thread` | core | high | core/tools/registry_adapter.py |
| `memory_fetch_thread` | core | high | core/tools/tool_graph.py |
| `memory_gc_stats` | core | high | core/tools/registry_adapter.py |
| `memory_gc_stats` | core | high | core/tools/tool_graph.py |
| `memory_get_checkpoint` | core | high | core/tools/registry_adapter.py |
| `memory_get_events` | core | high | core/tools/registry_adapter.py |
| `memory_get_events` | core | high | core/tools/tool_graph.py |
| `memory_get_facts` | core | high | core/tools/registry_adapter.py |
| `memory_get_facts` | core | high | core/tools/tool_graph.py |
| `memory_get_packet` | core | high | core/tools/registry_adapter.py |
| `memory_get_packet` | core | high | core/tools/tool_graph.py |
| `memory_get_reasoning_traces` | core | high | core/tools/registry_adapter.py |
| `memory_get_reasoning_traces` | core | high | core/tools/tool_graph.py |
| `memory_health_check` | core | high | core/tools/registry_adapter.py |
| `memory_hybrid_search` | core | high | core/tools/registry_adapter.py |
| `memory_hybrid_search` | core | high | core/tools/tool_graph.py |
| `memory_query_packets` | core | high | core/tools/registry_adapter.py |
| `memory_query_packets` | core | high | core/tools/tool_graph.py |
| `memory_read` | core | high | core/tools/tool_graph.py |
| `memory_search_by_thread` | core | high | core/tools/registry_adapter.py |
| `memory_search_by_thread` | core | high | core/tools/tool_graph.py |
| `memory_search_by_type` | core | high | core/tools/registry_adapter.py |
| `memory_search_by_type` | core | high | core/tools/tool_graph.py |
| `memory_search` | core | high | core/tools/registry_adapter.py |
| `memory_search` | core | high | core/tools/tool_graph.py |
| `memory_trigger_world_model_update` | core | high | core/tools/registry_adapter.py |
| `memory_write_insight` | core | high | core/tools/registry_adapter.py |
| `memory_write_insight` | core | high | core/tools/tool_graph.py |
| `memory_write` | core | high | core/tools/registry_adapter.py |
| `memory_write` | core | high | core/tools/tool_graph.py |
| `neo4j_query` | core | high | core/tools/registry_adapter.py |
| `neo4j_query` | core | high | core/tools/tool_graph.py |
| `notion_create_page` | core | high | core/tools/tool_graph.py |
| `notion_update_page` | core | high | core/tools/tool_graph.py |
| `redis_decrement_rate_limit` | core | high | core/tools/registry_adapter.py |
| `redis_delete` | core | high | core/tools/registry_adapter.py |
| `redis_delete` | core | high | core/tools/tool_graph.py |
| `redis_dequeue_task` | core | high | core/tools/registry_adapter.py |
| `redis_dequeue_task` | core | high | core/tools/tool_graph.py |
| `redis_enqueue_task` | core | high | core/tools/registry_adapter.py |
| `redis_enqueue_task` | core | high | core/tools/tool_graph.py |
| `redis_get_rate_limit` | core | high | core/tools/registry_adapter.py |
| `redis_get_task_context` | core | high | core/tools/registry_adapter.py |
| `redis_get_task_context` | core | high | core/tools/tool_graph.py |
| `redis_get` | core | high | core/tools/registry_adapter.py |
| `redis_get` | core | high | core/tools/tool_graph.py |
| `redis_increment_rate_limit` | core | high | core/tools/registry_adapter.py |
| `redis_keys` | core | high | core/tools/registry_adapter.py |
| `redis_keys` | core | high | core/tools/tool_graph.py |
| `redis_queue_size` | core | high | core/tools/registry_adapter.py |
| `redis_queue_size` | core | high | core/tools/tool_graph.py |
| `redis_set_rate_limit` | core | high | core/tools/registry_adapter.py |
| `redis_set_task_context` | core | high | core/tools/registry_adapter.py |
