# L9 File Metrics
# =================
# Format: path/to/file.py | Lines: N | Classes: N | Functions: N
# Use for: Finding large files, complexity hotspots

| File | Lines | Classes | Functions | Async |
|------|-------|---------|-----------|-------|
| `core/tools/registry_adapter.py` | 3147 | 3 | 13 | 5 |
| `runtime/l_tools.py` | 2631 | 0 | 6 | 68 |
| `api/server.py` | 2518 | 6 | 2 | 13 |
| `world_model/runtime.py` | 1905 | 9 | 30 | 17 |
| `core/agents/executor.py` | 1845 | 5 | 7 | 18 |
| `codegen/code-gen-files/Module Production/Module-Pipeline-Complete/tools/generate_module_code.py` | 1789 | 3 | 20 | 0 |
| `tools/export_repo_indexes.py` | 1754 | 0 | 37 | 0 |
| `world_model/knowledge_ingestor.py` | 1674 | 7 | 41 | 0 |
| `world_model/causal_mapper.py` | 1517 | 11 | 46 | 0 |
| `memory/slack_ingest.py` | 1438 | 0 | 7 | 9 |
| `core/tools/tool_graph.py` | 1369 | 2 | 2 | 13 |
| `world_model/reflection_memory.py` | 1338 | 7 | 39 | 0 |
| `igor/audit-tools/tools_export_repo_indexes.py` | 1328 | 0 | 21 | 0 |
| `codegen/code-gen-files/Module Production/Module-Pipeline-Complete/tools/compile_module_spec.py` | 1318 | 6 | 42 | 0 |
| `tests/core/agents/test_executor.py` | 1220 | 4 | 25 | 24 |
| `orchestration/unified_controller.py` | 1205 | 6 | 15 | 16 |
| `orchestration/plan_executor.py` | 1091 | 6 | 16 | 20 |
| `runtime/kernel_loader.py` | 1090 | 2 | 25 | 2 |
| `orchestration/task_router.py` | 1067 | 8 | 28 | 0 |
| `mac_agent/websocket_client.py` | 1038 | 4 | 13 | 17 |
| `core/kernels/kernelloader.py` | 1017 | 2 | 15 | 0 |
| `agents/research_agent.py` | 1016 | 11 | 14 | 13 |
| `orchestration/orchestrator_kernel.py` | 1005 | 8 | 17 | 11 |
| `_archived/legacy_slack/test_webhook_slack.py` | 999 | 6 | 31 | 0 |
| `_archived/legacy_slack/webhook_slack.py` | 987 | 1 | 4 | 3 |
| `api/webhook_slack.py` | 987 | 1 | 4 | 3 |
| `igor/audit-tools/Current Config/runtime_kernel_loader.py` | 961 | 2 | 24 | 1 |
| `orchestration/cell_orchestrator.py` | 948 | 6 | 21 | 7 |
| `world_model/world_model_service.py` | 941 | 5 | 15 | 1 |
| `scripts/audit/tier1/audit_code_integrity.py` | 918 | 9 | 31 | 1 |
| `_archived/archived_mcp_memory/src/routes/memory.py` | 913 | 0 | 0 | 14 |
| `orchestration/long_plan_graph.py` | 898 | 1 | 2 | 9 |
| `igor/audit-memory/mcp_memory_src_routes_memory.py` | 891 | 0 | 0 | 14 |
| `ir_engine/meta_ir.py` | 890 | 56 | 9 | 0 |
| `igor/audit-tools/core_tools_registry_adapter.py` | 872 | 3 | 11 | 3 |
| `tests/memory/test_e2e_memory_audit.py` | 855 | 1 | 5 | 16 |
| `igor/audit-tools/core_tools_tool_graph.py` | 845 | 2 | 1 | 12 |
| `memory/substrate_graph.py` | 836 | 2 | 4 | 9 |
| `igor/audit-memory/memory_substrate_graph.py` | 826 | 2 | 3 | 11 |
| `memory/substrate_service.py` | 818 | 1 | 1 | 19 |
| `memory/substrate_repository.py` | 809 | 1 | 3 | 22 |
| `world_model/seed_loader.py` | 780 | 1 | 7 | 6 |
| `tests/unit/test_guarded_execution.py` | 774 | 11 | 9 | 23 |
| `igor/audit-memory/memory_substrate_repository.py` | 770 | 1 | 3 | 22 |
| `world_model/engine.py` | 763 | 1 | 21 | 5 |
| `codegen/code-gen-files/Module Production/Module-Pipeline-Complete/tools/apply_policy_rules.py` | 754 | 3 | 19 | 0 |
| `igor/audit-memory/memory_slack_ingest.py` | 742 | 0 | 1 | 5 |
| `agents/codegenagent/readme_generator.py` | 741 | 5 | 11 | 0 |
| `world_model/repository.py` | 736 | 4 | 9 | 14 |
| `core/tools/base_registry.py` | 733 | 7 | 21 | 4 |
| `tests/api/test_e2e_slack_audit.py` | 730 | 1 | 5 | 9 |
| `ir_engine/ir_to_python.py` | 727 | 1 | 9 | 0 |
| `igor/audit-tools/services_research_tools_tool_registry.py` | 726 | 7 | 21 | 4 |
| `api/e2e_slack_audit.py` | 725 | 1 | 5 | 9 |
| `scripts/audit/run_all.py` | 720 | 4 | 15 | 1 |
| `core/governance/cursor_memory_kernel.py` | 689 | 4 | 33 | 0 |
| `codegen/code-gen-files/schema_parser.py` | 685 | 21 | 7 | 0 |
| `memory/retrieval.py` | 677 | 1 | 6 | 8 |
| `igor/audit-memory/memory_retrieval.py` | 674 | 1 | 6 | 8 |
| `tests/core/governance/test_engine.py` | 673 | 0 | 13 | 7 |
| `codegen/code-gen-files/extractor.py` | 671 | 4 | 16 | 5 |
| `runtime/mcp_client.py` | 662 | 3 | 10 | 9 |
| `memory/extractor/cursor_action_extractor.py` | 661 | 1 | 11 | 0 |
| `igor/audit-memory/memory_extractor_cursor_action_extractor.py` | 661 | 1 | 11 | 0 |
| `core/agents/agent_instance.py` | 657 | 1 | 30 | 0 |
| `email_agent/router.py` | 649 | 6 | 1 | 7 |
| `tests/telemetry/test_memory_metrics.py` | 637 | 11 | 39 | 0 |
| `igor/audit-memory/memory_substrate_service.py` | 637 | 1 | 1 | 18 |
| `mac_agent/executor.py` | 636 | 1 | 2 | 7 |
| `tests/upgrades/test_packet_envelope_phases.py` | 634 | 5 | 14 | 13 |
| `local_dashboard/app.py` | 630 | 0 | 0 | 3 |
| `tests/integration/test_l_bootstrap.py` | 624 | 0 | 5 | 8 |
| `simulation/simulation_engine.py` | 622 | 6 | 16 | 6 |
| `runtime/superprompt_emitter.py` | 617 | 7 | 17 | 2 |
| `scripts/audit/tier1/audit_infrastructure_health.py` | 617 | 10 | 7 | 6 |
| `clients/memory_client.py` | 613 | 6 | 3 | 16 |
| `core/worldmodel/service.py` | 600 | 1 | 2 | 16 |
| `tests/codegen/test_codegen_pipeline.py` | 594 | 6 | 26 | 0 |
| `email_agent/gmail_client.py` | 592 | 1 | 10 | 0 |
| `ci/validate_spec_v25.py` | 590 | 2 | 24 | 0 |
| `tests/ir_engine/test_ir_packet_formats.py` | 590 | 9 | 28 | 0 |
| `orchestration/ws_task_router.py` | 583 | 4 | 13 | 4 |
| `core/commands/executor.py` | 579 | 1 | 1 | 11 |
| `tests/integration/test_igor_commands.py` | 578 | 6 | 19 | 13 |
| `igor/audit-tools/runtime_l_tools.py` | 576 | 0 | 6 | 11 |
| `tests/integration/test_l_cto_end_to_end.py` | 575 | 3 | 7 | 11 |
| `tests/ir_engine/test_ir_simulation_router_integration.py` | 575 | 7 | 9 | 17 |
| `tests/integration/test_governance_tracking_e2e.py` | 571 | 6 | 21 | 2 |
| `codegen/code-gen-files/schema_validator.py` | 570 | 3 | 21 | 0 |
| `codegen/code-gen-files/validate_spec_v25.py` | 570 | 2 | 23 | 0 |
| `tests/ir_engine/test_ir_validation_and_status.py` | 563 | 9 | 27 | 0 |
| `codegen/code-gen-files/glue_resolver.py` | 563 | 9 | 26 | 0 |
| `igor/01-07-2026/L9 Memory Substrate Audit/script_9.py` | 557 | 0 | 0 | 0 |
| `tests/unit/test_kernel_loader_activation.py` | 556 | 10 | 39 | 0 |
| `tests/test_memory_substrate_basic.py` | 553 | 9 | 11 | 14 |
| `ci/check_syntax.py` | 549 | 1 | 12 | 0 |
| `memory/graph_client.py` | 543 | 1 | 4 | 13 |
| `api/memory/router.py` | 543 | 5 | 1 | 15 |
| `core/governance/session_startup.py` | 542 | 5 | 8 | 0 |
| `ci/lint_forbidden_imports.py` | 540 | 1 | 10 | 0 |
| `upgrades/packet_envelope/governance.py` | 540 | 13 | 11 | 12 |
| `scripts/load_indexes_to_neo4j.py` | 536 | 1 | 16 | 0 |
| `tests/core/observability/test_observability_integration.py` | 534 | 9 | 22 | 12 |
| `scripts/audit/tier1/audit_capability_inventory.py` | 531 | 7 | 7 | 0 |
| `ir_engine/deliberation_cell.py` | 531 | 3 | 8 | 4 |
| `igor/audit-memory/memory_graph_client.py` | 528 | 1 | 2 | 13 |
| `scripts/bootstrap_neo4j_schema.py` | 527 | 0 | 0 | 7 |
| `igor/audit-memory/api_memory_router.py` | 527 | 5 | 1 | 15 |
| `memory/substrate_models.py` | 526 | 22 | 2 | 0 |
| `memory/ingestion.py` | 523 | 1 | 7 | 9 |
| `igor/audit-memory/memory_ingestion.py` | 523 | 1 | 7 | 9 |
| `tests/unit/test_lcto_bootstrap.py` | 522 | 6 | 30 | 0 |
| `services/research/research_graph.py` | 518 | 0 | 2 | 7 |
| `_archived/codegen_slack_adapter/Slack-Audit-Pack/slack-adapter-tests.py` | 513 | 4 | 12 | 10 |
| `agents/codegenagent/codegen_agent.py` | 507 | 4 | 8 | 6 |
| `runtime/redis_client.py` | 504 | 1 | 3 | 17 |
| `core/agents/registry.py` | 502 | 1 | 20 | 1 |
| `world_model/service.py` | 501 | 1 | 2 | 13 |
| `runtime/dora.py` | 497 | 3 | 9 | 2 |
| `tests/memory/test_tool_audit.py` | 495 | 5 | 14 | 14 |
| `ir_engine/compile_meta_to_ir.py` | 495 | 7 | 19 | 0 |
| `ci/validate_codegen.py` | 493 | 1 | 15 | 0 |
| `tests/codegen/test_sample_schemas.py` | 492 | 5 | 24 | 0 |
| `tests/core/agents/test_bootstrap_phases.py` | 491 | 9 | 0 | 14 |
| `codegen/code-gen-files/validate_codegen.py` | 486 | 1 | 15 | 0 |
| `core/governance/approvals.py` | 483 | 1 | 4 | 9 |
| `upgrades/packet_envelope/scalability.py` | 483 | 11 | 6 | 19 |
| `core/kernels/schemas.py` | 476 | 31 | 2 | 0 |
| `runtime/construct_enhancer.py` | 476 | 4 | 8 | 5 |
| `simulation/scenario_loader.py` | 474 | 4 | 14 | 0 |
| `memory/insight_extraction.py` | 473 | 1 | 8 | 4 |
| `igor/audit-memory/memory_insight_extraction.py` | 473 | 1 | 8 | 4 |
| `ir_engine/ir_to_plan_adapter.py` | 465 | 3 | 14 | 0 |
| `scripts/audit/audit_shared_core.py` | 462 | 10 | 28 | 0 |
| `api/routes/commands.py` | 462 | 5 | 0 | 5 |
| `upgrades/packet_envelope/observability.py` | 461 | 4 | 13 | 1 |
| `ir_engine/ir_schema.py` | 461 | 14 | 28 | 0 |
| `igor/audit-tools/Current Config/agents_l_cto.py` | 460 | 1 | 9 | 2 |
| `_archived/codegen_slack_adapter/Slack-Audit-Pack/test-slack-adapter-integration.py` | 459 | 3 | 3 | 12 |
| `_archived/archived_mcp_memory/src/mcp_server.py` | 459 | 2 | 1 | 1 |
| `agents/codegenagent/file_emitter.py` | 457 | 3 | 16 | 0 |
| `clients/world_model_client.py` | 455 | 7 | 2 | 14 |
| `codegen/scripts/generate_spec.py` | 452 | 1 | 8 | 3 |
| `agents/l_cto.py` | 450 | 1 | 9 | 2 |
| `upgrades/packet_envelope/standardization.py` | 450 | 9 | 18 | 0 |
| `core/agents/kernelevolution.py` | 449 | 2 | 8 | 1 |
| `core/agents/selfreflection.py` | 448 | 9 | 8 | 1 |
| `tests/integration/test_recursive_self_testing.py` | 447 | 7 | 19 | 4 |
